Fecha,IPC
01/01/1969,0.011595
02/01/1969,0.011636
03/01/1969,0.011648
04/01/1969,0.01168
05/01/1969,0.01168
06/01/1969,0.011721
07/01/1969,0.011766
08/01/1969,0.011779
09/01/1969,0.011889
10/01/1969,0.012014
11/01/1969,0.012015
12/01/1969,0.012106
01/01/1970,0.012198
02/01/1970,0.012196
03/01/1970,0.012232
04/01/1970,0.012248
05/01/1970,0.012274
06/01/1970,0.012348
07/01/1970,0.012409
08/01/1970,0.012466
09/01/1970,0.012496
10/01/1970,0.0125
11/01/1970,0.012568
12/01/1970,0.012674
01/01/1971,0.012799
02/01/1971,0.012852
03/01/1971,0.012901
04/01/1971,0.012967
05/01/1971,0.012994
06/01/1971,0.013053
07/01/1971,0.013043
08/01/1971,0.013162
09/01/1971,0.013205
10/01/1971,0.013218
11/01/1971,0.01324
12/01/1971,0.013303
01/01/1972,0.013362
02/01/1972,0.013403
03/01/1972,0.013476
04/01/1972,0.013561
05/01/1972,0.013588
06/01/1972,0.013689
07/01/1972,0.01374
08/01/1972,0.013831
09/01/1972,0.013894
10/01/1972,0.013904
11/01/1972,0.013994
12/01/1972,0.014042
01/01/1973,0.014246
02/01/1973,0.014363
03/01/1973,0.01449
04/01/1973,0.014719
05/01/1973,0.014876
06/01/1973,0.014998
07/01/1973,0.015382
08/01/1973,0.015629
09/01/1973,0.016001
10/01/1973,0.016206
11/01/1973,0.016406
12/01/1973,0.017043
01/01/1974,0.017653
02/01/1974,0.018052
03/01/1974,0.018191
04/01/1974,0.018438
05/01/1974,0.018583
06/01/1974,0.018766
07/01/1974,0.019038
08/01/1974,0.019239
09/01/1974,0.019457
10/01/1974,0.019843
11/01/1974,0.020394
12/01/1974,0.020553
01/01/1975,0.020816
02/01/1975,0.020931
03/01/1975,0.021063
04/01/1975,0.021241
05/01/1975,0.021525
06/01/1975,0.021891
07/01/1975,0.022066
08/01/1975,0.022257
09/01/1975,0.022419
10/01/1975,0.022534
11/01/1975,0.022692
12/01/1975,0.022877
01/01/1976,0.023319
02/01/1976,0.023755
03/01/1976,0.023988
04/01/1976,0.024156
05/01/1976,0.024325
06/01/1976,0.024423
07/01/1976,0.024629
08/01/1976,0.024865
09/01/1976,0.025713
10/01/1976,0.027161
11/01/1976,0.028388
12/01/1976,0.0291
01/01/1977,0.030027
02/01/1977,0.03069
03/01/1977,0.031225
04/01/1977,0.031697
05/01/1977,0.031976
06/01/1977,0.032368
07/01/1977,0.032734
08/01/1977,0.033405
09/01/1977,0.033998
10/01/1977,0.034258
11/01/1977,0.034632
12/01/1977,0.035112
01/01/1978,0.035892
02/01/1978,0.036408
03/01/1978,0.036787
04/01/1978,0.037196
05/01/1978,0.03756
06/01/1978,0.038077
07/01/1978,0.038723
08/01/1978,0.039109
09/01/1978,0.039555
10/01/1978,0.040034
11/01/1978,0.040446
12/01/1978,0.040789
01/01/1979,0.042237
02/01/1979,0.042845
03/01/1979,0.043426
04/01/1979,0.043815
05/01/1979,0.044389
06/01/1979,0.044881
07/01/1979,0.045425
08/01/1979,0.046112
09/01/1979,0.046678
10/01/1979,0.047493
11/01/1979,0.048104
12/01/1979,0.048956
01/01/1980,0.051342
02/01/1980,0.052529
03/01/1980,0.05361
04/01/1980,0.054547
05/01/1980,0.055437
06/01/1980,0.056536
07/01/1980,0.058115
08/01/1980,0.059319
09/01/1980,0.059978
10/01/1980,0.060886
11/01/1980,0.061942
12/01/1980,0.063567
01/01/1981,0.065615
02/01/1981,0.067227
03/01/1981,0.068665
04/01/1981,0.070213
05/01/1981,0.071275
06/01/1981,0.072271
07/01/1981,0.073544
08/01/1981,0.07506
09/01/1981,0.076456
10/01/1981,0.078153
11/01/1981,0.079657
12/01/1981,0.081801
01/01/1982,0.085866
02/01/1982,0.08924
03/01/1982,0.092499
04/01/1982,0.097512
05/01/1982,0.102993
06/01/1982,0.107954
07/01/1982,0.113517
08/01/1982,0.126256
09/01/1982,0.132995
10/01/1982,0.13989
11/01/1982,0.146963
12/01/1982,0.162656
01/01/1983,0.180355
02/01/1983,0.190034
03/01/1983,0.199232
04/01/1983,0.211846
05/01/1983,0.221034
06/01/1983,0.229404
07/01/1983,0.240746
08/01/1983,0.250091
09/01/1983,0.257787
10/01/1983,0.266341
11/01/1983,0.281983
12/01/1983,0.294047
01/01/1984,0.312728
02/01/1984,0.329232
03/01/1984,0.343304
04/01/1984,0.358156
05/01/1984,0.370032
06/01/1984,0.383423
07/01/1984,0.395993
08/01/1984,0.407249
09/01/1984,0.41938
10/01/1984,0.434034
11/01/1984,0.448929
12/01/1984,0.467996
01/01/1985,0.502711
02/01/1985,0.523596
03/01/1985,0.543885
04/01/1985,0.560621
05/01/1985,0.573902
06/01/1985,0.588276
07/01/1985,0.608763
08/01/1985,0.635377
09/01/1985,0.660752
10/01/1985,0.685852
11/01/1985,0.717495
12/01/1985,0.76634
01/01/1986,0.834092
02/01/1986,0.871174
03/01/1986,0.911667
04/01/1986,0.959263
05/01/1986,1.01257
06/01/1986,1.077567
07/01/1986,1.131333
08/01/1986,1.221531
09/01/1986,1.294812
10/01/1986,1.368824
11/01/1986,1.461304
12/01/1986,1.576735
01/01/1987,1.704401
02/01/1987,1.827386
03/01/1987,1.948153
04/01/1987,2.118606
05/01/1987,2.278325
06/01/1987,2.443146
07/01/1987,2.641022
08/01/1987,2.856872
09/01/1987,3.045081
10/01/1987,3.298845
11/01/1987,3.560511
12/01/1987,4.086392
01/01/1988,4.718246
02/01/1988,5.111783
03/01/1988,5.373547
04/01/1988,5.538941
05/01/1988,5.646109
06/01/1988,5.761292
07/01/1988,5.857457
08/01/1988,5.911343
09/01/1988,5.945139
10/01/1988,5.990486
11/01/1988,6.070654
12/01/1988,6.197316
01/01/1989,6.349024
02/01/1989,6.435184
03/01/1989,6.504945
04/01/1989,6.602224
05/01/1989,6.693099
06/01/1989,6.774385
07/01/1989,6.842148
08/01/1989,6.907333
09/01/1989,6.973393
10/01/1989,7.076525
11/01/1989,7.175855
12/01/1989,7.41803
01/01/1990,7.776037
02/01/1990,7.95212
03/01/1990,8.09231
04/01/1990,8.215472
05/01/1990,8.358838
06/01/1990,8.542939
07/01/1990,8.698735
08/01/1990,8.84695
09/01/1990,8.973061
10/01/1990,9.10206
11/01/1990,9.343723
12/01/1990,9.638214
01/01/1991,9.88388
02/01/1991,10.056425
03/01/1991,10.19984
04/01/1991,10.306688
05/01/1991,10.407442
06/01/1991,10.516648
07/01/1991,10.609584
08/01/1991,10.683423
09/01/1991,10.78985
10/01/1991,10.915343
11/01/1991,11.186374
12/01/1991,11.44968
01/01/1992,11.657778
02/01/1992,11.7959
03/01/1992,11.915948
04/01/1992,12.022171
05/01/1992,12.101438
06/01/1992,12.183345
07/01/1992,12.260272
08/01/1992,12.335592
