CICLO,ENTE,RAMO,PROGRAMA,PRESUPUESTO,GC_SERVICIOS_PERSONALES,GC_GASTO_DE_OPERACIÓN,GC_SUBSIDIOS,GC_OTROS_DE_CORRIENTE,GC_SUMA,GI_INVERSIÓN_FÍSICA,GI_SUBSIDIOS,GI_OTROS_DE_INVERSIÓN,GI_SUMA,TOTAL,PORCENTAJE_CORRIENTE,PORCENTAJE_INVERSIÓN
2014,Poder Legislativo,H. Cámara de Diputados,TOTAL,Aprobado,3958343723.0,2766314160.0,0.0,16500000.0,6741157883.0,54366372.0,,,54366372.0,6795524255.0,99.19996795008129,0.8000320499187152
2014,Poder Legislativo,H. Cámara de Diputados,TOTAL,Modificado,4228081485.31,1853287970.58,1135634058.67,14973672.29,7231977186.85,107679016.53,,,107679016.53,7339656203.38,98.53291470954167,1.4670852904583258
2014,Poder Legislativo,H. Cámara de Diputados,TOTAL,Devengado,4225323039.0,1855911184.0,1135634059.0,14973672.0,7231841954.0,107814251.0,,,107814251.0,7339656205.0,98.53107219209322,1.4689278079067738
2014,Poder Legislativo,H. Cámara de Diputados,TOTAL,Ejercicio,4225323039.0,1855911184.0,1135634059.0,14973672.0,7231841954.0,107814251.0,,,107814251.0,7339656205.0,98.53107219209322,1.4689278079067738
2014,Poder Legislativo,H. Cámara de Diputados,TOTAL,Porcentaje Ejer/Aprob,106.7,67.1,,90.7,107.3,198.3,,,198.3,108.0,,
2014,Poder Legislativo,H. Cámara de Diputados,TOTAL,Porcentaje Ejer/Modif,99.9,100.1,100.0,100.0,100.0,100.1,,,100.1,100.0,,
2014,Poder Legislativo,H. Cámara de Diputados,K027,Mantenimiento de Infraestructura,,,,,,,,,,,,
2014,Poder Legislativo,H. Cámara de Diputados,K027,Aprobado,,,,,0.0,32293133.0,,,32293133.0,32293133.0,0.0,100.0
2014,Poder Legislativo,H. Cámara de Diputados,K027,Modificado,,,,,0.0,37058335.37,,,37058335.37,37058335.37,0.0,100.0
2014,Poder Legislativo,H. Cámara de Diputados,K027,Devengado,,,,,0.0,37058336.0,,,37058336.0,37058336.0,0.0,100.0
2014,Poder Legislativo,H. Cámara de Diputados,K027,Ejercicio,,,,,0.0,37058336.0,,,37058336.0,37058336.0,0.0,100.0
2014,Poder Legislativo,H. Cámara de Diputados,K027,Porcentaje Ejer/Aprob,,,,,,114.8,,,114.8,114.8,,
2014,Poder Legislativo,H. Cámara de Diputados,K027,Porcentaje Ejer/Modif,,,,,,100.0,,,100.0,100.0,,
2014,Poder Legislativo,H. Cámara de Diputados,R001,Actividades derivadas del trabajo legislativo,,,,,,,,,,,,
2014,Poder Legislativo,H. Cámara de Diputados,R001,Aprobado,3958343723.0,2766314160.0,0.0,16500000.0,6741157883.0,22073239.0,,,22073239.0,6763231122.0,99.67362879366641,0.3263712063335871
2014,Poder Legislativo,H. Cámara de Diputados,R001,Modificado,4228081485.31,1853287970.58,1135634058.67,14973672.29,7231977186.85,70620681.16,,,70620681.16,7302597868.01,99.0329375595312,0.9670624404687991
2014,Poder Legislativo,H. Cámara de Diputados,R001,Devengado,4225323039.0,1855911184.0,1135634059.0,14973672.0,7231841954.0,70755915.0,,,70755915.0,7302597869.0,99.03108570033189,0.9689142996681145
2014,Poder Legislativo,H. Cámara de Diputados,R001,Ejercicio,4225323039.0,1855911184.0,1135634059.0,14973672.0,7231841954.0,70755915.0,,,70755915.0,7302597869.0,99.03108570033189,0.9689142996681145
2014,Poder Legislativo,H. Cámara de Diputados,R001,Porcentaje Ejer/Aprob,106.7,67.1,,90.7,107.3,320.6,,,320.6,108.0,,
2014,Poder Legislativo,H. Cámara de Diputados,R001,Porcentaje Ejer/Modif,99.9,100.1,100.0,100.0,100.0,100.2,,,100.2,100.0,,
2014,Poder Legislativo,H. Cámara de Senadores,TOTAL,Aprobado,2008701966.0,1586070965.0,,13823500.0,3608596431.0,113832035.0,,,113832035.0,3722428466.0,96.9419953656673,3.05800463433271
2014,Poder Legislativo,H. Cámara de Senadores,TOTAL,Modificado,2047458924.52,1878415139.59,,11858631.55,3937732695.66,11317460.19,,,11317460.19,3949050155.85,99.71341310585193,0.28658689414806915
2014,Poder Legislativo,H. Cámara de Senadores,TOTAL,Devengado,2113821387.0,1809290948.0,,11161993.0,3934274328.0,14775828.0,,,14775828.0,3949050156.0,99.625838431615,0.3741615683850028
2014,Poder Legislativo,H. Cámara de Senadores,TOTAL,Ejercicio,2113821387.0,1809290948.0,,11161993.0,3934274328.0,14775828.0,,,14775828.0,3949050156.0,99.625838431615,0.3741615683850028
2014,Poder Legislativo,H. Cámara de Senadores,TOTAL,Porcentaje Ejer/Aprob,105.2,114.1,,80.7,109.0,13.0,,,13.0,106.1,,
2014,Poder Legislativo,H. Cámara de Senadores,TOTAL,Porcentaje Ejer/Modif,103.2,96.3,,94.1,99.9,130.6,,,130.6,100.0,,
2014,Poder Legislativo,H. Cámara de Senadores,K025,Proyectos de inmuebles (oficinas administrativas),,,,,,,,,,,,
2014,Poder Legislativo,H. Cámara de Senadores,K025,Aprobado,,,,,0.0,0.0,,,0.0,0.0,,
2014,Poder Legislativo,H. Cámara de Senadores,K025,Modificado,,,,,0.0,-75420035.0,,,-75420035.0,-75420035.0,0.0,100.0
2014,Poder Legislativo,H. Cámara de Senadores,K025,Devengado,,,,,0.0,0.0,,,0.0,0.0,,
2014,Poder Legislativo,H. Cámara de Senadores,K025,Ejercicio,,,,,0.0,0.0,,,0.0,0.0,,
2014,Poder Legislativo,H. Cámara de Senadores,K025,Porcentaje Ejer/Aprob,,,,,,,,,,,,
2014,Poder Legislativo,H. Cámara de Senadores,K025,Porcentaje Ejer/Modif,,,,,,,,,,,,
2014,Poder Legislativo,H. Cámara de Senadores,K026,Otros Proyectos,,,,,,,,,,,,
2014,Poder Legislativo,H. Cámara de Senadores,K026,Aprobado,,,,,0.0,75420035.0,,,75420035.0,75420035.0,0.0,100.0
2014,Poder Legislativo,H. Cámara de Senadores,K026,Modificado,,,,,0.0,75420035.0,,,75420035.0,75420035.0,0.0,100.0
2014,Poder Legislativo,H. Cámara de Senadores,K026,Devengado,,,,,0.0,55232.0,,,55232.0,55232.0,0.0,100.0
2014,Poder Legislativo,H. Cámara de Senadores,K026,Ejercicio,,,,,0.0,55232.0,,,55232.0,55232.0,0.0,100.0
2014,Poder Legislativo,H. Cámara de Senadores,K026,Porcentaje Ejer/Aprob,,,,,,0.1,,,0.1,0.1,,
2014,Poder Legislativo,H. Cámara de Senadores,K026,Porcentaje Ejer/Modif,,,,,,0.1,,,0.1,0.1,,
2014,Poder Legislativo,H. Cámara de Senadores,R001,Actividades derivadas del trabajo legislativo,,,,,,,,,,,,
2014,Poder Legislativo,H. Cámara de Senadores,R001,Aprobado,2008701966.0,1586070965.0,,13823500.0,3608596431.0,38412000.0,,,38412000.0,3647008431.0,98.94675318890152,1.0532468110984743
2014,Poder Legislativo,H. Cámara de Senadores,R001,Modificado,2047458924.52,1878415139.59,,11858631.55,3937732695.66,11317460.19,,,11317460.19,3949050155.85,99.71341310585193,0.28658689414806915
2014,Poder Legislativo,H. Cámara de Senadores,R001,Devengado,2113821387.0,1809290948.0,,11161993.0,3934274328.0,14720596.0,,,14720596.0,3948994924.0,99.62723183282573,0.3727681671742762
2014,Poder Legislativo,H. Cámara de Senadores,R001,Ejercicio,2113821387.0,1809290948.0,,11161993.0,3934274328.0,14720596.0,,,14720596.0,3948994924.0,99.62723183282573,0.3727681671742762
2014,Poder Legislativo,H. Cámara de Senadores,R001,Porcentaje Ejer/Aprob,105.2,114.1,,80.7,109.0,38.3,,,38.3,108.3,,
2014,Poder Legislativo,H. Cámara de Senadores,R001,Porcentaje Ejer/Modif,103.2,96.3,,94.1,99.9,130.1,,,130.1,100.0,,
2014,Poder Legislativo,Auditoría Superior de la Federación,TOTAL,Aprobado,1417563755.0,204630523.0,,18235625.0,1640429903.0,223305677.0,,,223305677.0,1863735580.0,88.01838203893709,11.98161796106291
2014,Poder Legislativo,Auditoría Superior de la Federación,TOTAL,Modificado,1445454735.0,209354673.0,,13628664.0,1668438072.0,320513782.0,,,320513782.0,1988951854.0,83.88529207706,16.11470792294
2014,Poder Legislativo,Auditoría Superior de la Federación,TOTAL,Devengado,1445454735.0,209354673.0,,13628664.0,1668438072.0,320513782.0,,,320513782.0,1988951854.0,83.88529207706,16.11470792294
2014,Poder Legislativo,Auditoría Superior de la Federación,TOTAL,Ejercicio,1445454735.0,209354673.0,,13628664.0,1668438072.0,320513782.0,,,320513782.0,1988951854.0,83.88529207706,16.11470792294
2014,Poder Legislativo,Auditoría Superior de la Federación,TOTAL,Porcentaje Ejer/Aprob,102.0,102.3,,74.7,101.7,143.5,,,143.5,106.7,,
2014,Poder Legislativo,Auditoría Superior de la Federación,TOTAL,Porcentaje Ejer/Modif,100.0,100.0,,100.0,100.0,100.0,,,100.0,100.0,,
2014,Poder Legislativo,Auditoría Superior de la Federación,R002,"Entregar a la Cámara de Diputados del H. Congreso de la Unión, el informe sobre la revisión de la Cuenta de la Hacienda Pública Federal",,,,,,,,,,,,
2014,Poder Legislativo,Auditoría Superior de la Federación,R002,Aprobado,1417563755.0,204630523.0,,18235625.0,1640429903.0,223305677.0,,,223305677.0,1863735580.0,88.01838203893709,11.98161796106291
2014,Poder Legislativo,Auditoría Superior de la Federación,R002,Modificado,1445454735.0,209354673.0,,13628664.0,1668438072.0,320513782.0,,,320513782.0,1988951854.0,83.88529207706,16.11470792294
2014,Poder Legislativo,Auditoría Superior de la Federación,R002,Devengado,1445454735.0,209354673.0,,13628664.0,1668438072.0,320513782.0,,,320513782.0,1988951854.0,83.88529207706,16.11470792294
2014,Poder Legislativo,Auditoría Superior de la Federación,R002,Ejercicio,1445454735.0,209354673.0,,13628664.0,1668438072.0,320513782.0,,,320513782.0,1988951854.0,83.88529207706,16.11470792294
2014,Poder Legislativo,Auditoría Superior de la Federación,R002,Porcentaje Ejer/Aprob,102.0,102.3,,74.7,101.7,143.5,,,143.5,106.7,,
2014,Poder Legislativo,Auditoría Superior de la Federación,R002,Porcentaje Ejer/Modif,100.0,100.0,,100.0,100.0,100.0,,,100.0,100.0,,
2014,Poder Judicial,Suprema Corte de Justicia de la Nación,TOTAL,Aprobado,3166963875.0,879674621.0,5751564.0,55791616.0,4108181676.0,445717015.0,,,445717015.0,4553898691.0,90.21240819693939,9.7875918030606
