CICLO,ENTE,RAMO,PROGRAMA,DESCRIPCIÓN,PRESUPUESTO,GC_SERVICIOS_PERSONALES,GC_GASTO_DE_OPERACIÓN,GC_SUBSIDIOS,GC_OTROS_DE_CORRIENTE,GC_SUMA,GI_PENSIONES_Y_JUBILACIONES,GI_INVERSIÓN_FÍSICA,GI_SUBSIDIOS,GI_OTROS_DE_INVERSIÓN,GI_SUMA,TOTAL,PORCENTAJE_CORRIENTE,PORCENTAJE_PENSIONES_Y_JUBILACIONES,PORCENTAJE_INVERSIÓN
2013,Poder Legislativo,H. Cámara de Diputados,K027,Mantenimiento de infraestructura,Aprobado,,,,,,,19300000.0,,,19300000.0,19300000.0,0.0,,100.0
2013,Poder Legislativo,H. Cámara de Diputados,K027,Mantenimiento de infraestructura,Modificado,,,,,,,68300000.0,,,68300000.0,68300000.0,0.0,,100.0
2013,Poder Legislativo,H. Cámara de Diputados,K027,Mantenimiento de infraestructura,Devengado,,,,,,,32040188.0,,,32040188.0,32040188.0,0.0,,100.0
2013,Poder Legislativo,H. Cámara de Diputados,K027,Mantenimiento de infraestructura,Ejercicio,,,,,,,32040188.0,,,32040188.0,32040188.0,0.0,,100.0
2013,Poder Legislativo,H. Cámara de Diputados,R001,Actividades derivadas del trabajo legislativo,Aprobado,3914141621.0,2546915777.0,0.0,16090550.0,6477147948.0,,33142736.0,,,33142736.0,6510290684.0,99.49091772382064,,0.5090822761793596
2013,Poder Legislativo,H. Cámara de Diputados,R001,Actividades derivadas del trabajo legislativo,Modificado,3837574934.7700005,1919129775.5100002,1042673000.0,59605341.23,6858983051.51,,143163623.28999996,,,143163623.28999996,7002146674.8,97.95543238468238,,2.044567615317614
2013,Poder Legislativo,H. Cámara de Diputados,R001,Actividades derivadas del trabajo legislativo,Devengado,3829424053.0,1681165869.0,1166674737.0,172594998.59,6849859657.59,,78921312.0,,,78921312.0,6928780969.59,98.86096396543084,,1.1390360345691524
2013,Poder Legislativo,H. Cámara de Diputados,R001,Actividades derivadas del trabajo legislativo,Ejercicio,3829424053.0,1681165869.0,1166674737.0,172594998.59,6849859657.59,,78921312.0,,,78921312.0,6928780969.59,98.86096396543084,,1.1390360345691524
2013,Poder Legislativo,H. Cámara de Senadores,K026,Otros proyectos,Aprobado,,,,,,,50000000.0,,,50000000.0,50000000.0,0.0,,100.0
2013,Poder Legislativo,H. Cámara de Senadores,K026,Otros proyectos,Modificado,,,,,,,157193906.3,,,157193906.3,157193906.3,0.0,,100.0
2013,Poder Legislativo,H. Cámara de Senadores,K026,Otros proyectos,Devengado,,,,,,,157193906.3,,,157193906.3,157193906.3,0.0,,100.0
2013,Poder Legislativo,H. Cámara de Senadores,K026,Otros proyectos,Ejercicio,,,,,,,157193906.3,,,157193906.3,157193906.3,0.0,,100.0
2013,Poder Legislativo,H. Cámara de Senadores,R001,Actividades derivadas del trabajo legislativo,Aprobado,1887756822.0,1700727100.0,,12301000.0,3600784922.0,,106192300.0,,,106192300.0,3706977222.0,97.13533982971963,,2.8646601702803776
2013,Poder Legislativo,H. Cámara de Senadores,R001,Actividades derivadas del trabajo legislativo,Modificado,1828628403.62,1735755324.27,,31838603.659999996,3596222331.5499997,,59237690.63000001,,,59237690.63000001,3655460022.18,98.37947371136416,,1.620526288635829
2013,Poder Legislativo,H. Cámara de Senadores,R001,Actividades derivadas del trabajo legislativo,Devengado,1828628403.62,1735755324.27,,31838603.659999996,3596222331.5499997,,59237690.63,,,59237690.63,3655460022.18,98.37947371136416,,1.620526288635829
2013,Poder Legislativo,H. Cámara de Senadores,R001,Actividades derivadas del trabajo legislativo,Ejercicio,1828628403.62,1735755324.27,,31838603.659999996,3596222331.5499997,,59237690.63,,,59237690.63,3655460022.18,98.37947371136416,,1.620526288635829
2013,Poder Legislativo,Auditoría Superior de la Federación,R002,"Entregar a la Cámara de Diputados del H. Congreso de la Unión, el informe sobre la revisión de la Cuenta de la Hacienda Pública Federal",Aprobado,1343537026.0,235206265.0,,11599727.0,1590343018.0,,71100758.0,,,71100758.0,1661443776.0,95.72054384102132,,4.279456158978683
2013,Poder Legislativo,Auditoría Superior de la Federación,R002,"Entregar a la Cámara de Diputados del H. Congreso de la Unión, el informe sobre la revisión de la Cuenta de la Hacienda Pública Federal",Modificado,1391795400.9099998,252662550.55999994,,12474562.18,1656932513.6499999,,227846324.78999996,,,227846324.78999996,1884778838.4399998,87.91124347625929,,12.088756523740715
